fid,GID_0,COUNTRY,GID_1,NAME_1,VARNAME_1,NL_NAME_1,TYPE_1,ENGTYPE_1,CC_1,HASC_1,ISO_1,SIS_RegionName,ToSplit
3262,TWN,Taiwan,TWN.3_1,New Taipei,NA,新北,Zhíxiáshì,Special Municipality,NA,TW.NT,TW-NWT,T�rkiye-in-Asia,NA
3263,TWN,Taiwan,TWN.4_1,Taichung,NA,台中,Zhíxiáshì,Special Municipality,NA,TW.TG,TW-TXG,T�rkiye-in-Asia,NA
3264,TWN,Taiwan,TWN.5_1,Tainan,NA,台南,Zhíxiáshì,Special Municipality,NA,TW.TN,TW-TNN,T�rkiye-in-Asia,NA
3265,TWN,Taiwan,TWN.6_1,Taipei,Taibei|Taipé|Taipeh,台北,Zhíxiáshì,Special Municipality,NA,TW.TP,TW-TPE,T�rkiye-in-Asia,NA
3266,TWN,Taiwan,TWN.7_1,Taiwan,NA,台灣,Shěng,Province,NA,TW.TA,NA,T�rkiye-in-Asia,NA
3356,UKR,Ukraine,?,?,?,?,?,?,NA,?,NA,Ukraine (main part),NA
3357,UKR,Ukraine,UKR.1_1,Cherkasy,Cherkas'ka Oblast'|Cherkasskaya,Черкаська,Oblast',Region,NA,UA.CK,NA,Ukraine (main part),NA
3358,UKR,Ukraine,UKR.2_1,Chernihiv,Chernigov|Tschernigow,Чернігівська,Oblast',Region,NA,UA.CH,NA,Ukraine (main part),NA
3359,UKR,Ukraine,UKR.3_1,Chernivtsi,Chernivets'ka Oblast'|Chernovits,Чернівецька,Oblast',Region,NA,UA.CV,NA,Ukraine (main part),NA
3360,UKR,Ukraine,UKR.4_1,Crimea,Crimée|Criméia|Krim|Krymskaya Re,Крим,Autonomous Republic,Autonomous Republic,NA,UA.KR,NA,Krym,NA
3361,UKR,Ukraine,UKR.5_1,Dnipropetrovs'k,Dnipropetrovsk|Dniepropietrovsk|,Дніпропетро́вська,Oblast',Region,NA,UA.DP,NA,Ukraine (main part),NA
3362,UKR,Ukraine,UKR.6_1,Donets'k,Donetsk|Donetskaya Oblast'|Donez,Доне́цька,Oblast',Region,NA,UA.DT,NA,Ukraine (main part),NA
3363,UKR,Ukraine,UKR.7_1,Ivano-Frankivs'k,Ivano-Frankovsk|Ivano-Frankovska,Івано-Франківська,Oblast',Region,NA,UA.IF,NA,Ukraine (main part),NA
3364,UKR,Ukraine,UKR.8_1,Kharkiv,Charkow|Jarkov|Karkov|Khar'kov,Харківська,Oblast',Region,NA,UA.KK,NA,Ukraine (main part),NA
